Gesetz|Artikel|Absatz|Text
SVG|26|1|jedermann Verkehr verhalten ordnungsgemäss Benützung Strasse weder behindern gefährden
SVG|26|2|besonderer Vorsicht gebieten gegenüber Kind Gebrechlichen alt Leute ebenso Anzeichen dafür bestehen Strassenbenützer richtig verhalten
SVG|27|1|Signal Markierung sowie Weisung Polizei befolgen Signal Markierung gehen allgemein Regel Weisung Polizei allgemein Regel Signal Markierung
SVG|27|2|Feuerwehr Sanitäts Polizei Zollfahrzeug Wahrnehmen besonderer Warnsignal Strasse sofort freigeben Fahrzeug nötigenfalls anhalten
SVG|28||Bahnübergang anhalten Schranke schliessen Signal Halt gebieten fehlen Eisenbahnfahrzeug herannahen
SVG|29||Fahrzeug dürfen betriebssicher vorschriftsgemäss Zustand verkehren müssen beschaffen unterhalten Verkehrsregel befolgen Führer Mitfahrende Strassenbenützer gefährden Strasse beschädigen
SVG|30|1|Führer dürfen Motorfahrzeug Fahrrad Person dafür eingerichtet Platz mitführen Bundesrat Ausnahme vorsehen erlässt Vorschrift Personenbeförderung Anhänger
SVG|30|2|Fahrzeug dürfen überladen Ladung anbringen niemand gefährden oderbelästigen herunterfallen Überhängende Ladung Tag Nacht auffällig kennzeichnen
SVG|30|3|Ziehen Anhänger abschleppen Fahrzeug dürfen Motorfahrzeug verwenden Zugkraft Bremse ausreichen Anhängevorrichtung betriebssicher
SVG|30|4|Bundesrat erlässen Rahmen Bund zustehend Befugnis Vorschrift Beförderung Tier sowie gefährlich gesundheitsschädlich ekelerregend Stoff Gegenstand Genehmigung Zulassung Prüfung Gefahrgutumschliessung dafür geeignet Betrieb Organisation übertragen Kompetenz Eidgenössischen Departement Umwelt Verkehr Energie Kommunikation einräumen
SVG|31|1|Führer Fahrzeug ständig beherrschen Vorsichtspflicht nachkommen
SVG|31|2|wer wegen Alkohol Betäubungsmittel Arzneimitteleinfluss Grund erforderlich körperlich geistig Leistungsfähigkeit verfügen gelten Zeit fahrunfähig dürfen Fahrzeug führen
SVG|31|3|Führer dafür sorgen weder Ladung Weise behindern Mitfahrende dürfen behindern stören
SVG|32|1|Geschwindigkeit stets Umstand anpassen namentlich Besonderheit Fahrzeug Ladung sowie Strasse Verkehr Sichtverhältnis Fahrzeug Verkehr stören langsam fahren nötigenfalls anhalten namentlich unübersichtlich Stelle frei überblickbar Strassenverzweigung sowie Bahnübergang
SVG|32|2|Bundesrat beschränken Geschwindigkeit Motorfahrzeug Strasse
SVG|32|3|Bundesrat festgesetzt Höchstgeschwindigkeit bestimmt Strassenstrecke zuständig Behörde Grund Gutachten herab heraufsetzen Bundesrat Ausnahme vorsehen
SVG|33|1|1 Fussgänger überqueren Fahrbahn angemessen Weise ermöglichen
SVG|33|2|Fussgängerstreifen Fahrzeugführer besonders vorsichtig fahren nötigenfalls anhalten Fussgänger Vortritt lassen schon Streifen befinden Begriff betreten
SVG|33|3|Haltestelle öffentlich Verkehrsmittel aussteigend Person Rücksicht nehmen
SVG|34|1|Fahrzeug müssen rechts breit Strasse innerhalb rechter Fahrbahnhälfte fahren möglichst rechter Strassenrand halten namentlich langsam Fahrt unübersichtlich Strecke
SVG|34|2|Strasse Sicherheitslinie immer rechts Linie fahren
SVG|34|3|Führer Fahrrichtung ändern abbiegen überholen Einspur wechseln Fahrstreifen Gegenverkehr nachfolgend Fahrzeug Rücksicht nehmen
SVG|34|4|gegenüber Strassenbenützer ausreichend Abstand wahren namentlich Kreuzen überholen sowie Nebenund Hintereinander fahren
SVG|35|1|rechts kreuzen links überholen
SVG|35|2|überholen Vorbeifahren Hindernis gestatten nötig Raum übersichtlich frei Gegenverkehr behindern Kolonnenverkehr dürfen überholen wer Gewissheit rechtzeitig Behinderung Fahrzeug einbiegen
